,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,tot,write_std,sync_read,sync_write,sync,non_hid_sync
disable_4_4194304_524288,0.00373925,11.74132275,0.00386775,0.0064035,2.8996955,14.6691265,13.522115,0.0506755,28.27235825,2.57061452,0,0,0,0.000272
disable_4_8388608_524288,0.00374725,8.4590535,0.00013075,0.0044815,3.015246,11.4896315,13.53765725,0.24081475,25.29524225,1.729926255,0,0,0,0.001578
disable_4_16777216_524288,0.003834,4.10641425,0.00016675,0.0055635,2.631047,6.75426075,16.1443205,0.19402825,23.1208375,1.220970628,0,0,0,0.00065275
disable_4_33554432_524288,0.0039325,2.8216835,0.000135,0.04172625,2.61831725,5.4900325,17.32167225,0.1493505,22.99334675,0.431344436,0,0,0,0.00017225
disable_4_67108864_524288,0.00379675,2.71994825,0.00021425,0.13756975,2.588748,5.45258525,16.55468425,0.14015725,22.178952,0.530705247,0,0,0,0.00018625
disable_8_4194304_524288,0.003833,11.418195,0.000121,0.003531,1.39455675,12.825616,9.95979325,0.17528575,22.985928,1.570800158,0,0,0,0.0001665
disable_8_8388608_524288,0.00383925,7.100255,0.00021125,0.00276675,1.362857,8.4728615,13.2193455,0.2893215,22.003625,0.706838043,0,0,0,0.00051375
disable_8_16777216_524288,0.003964,4.74455575,0.00028225,0.00275475,1.36836425,6.12153125,15.5993995,0.23775225,21.9807835,0.658174055,0,0,0,0.001577
disable_8_33554432_524288,0.00403725,4.113611,0.00019675,0.0642555,1.36481125,5.546963,15.92732925,0.32674425,21.8272605,0.437334117,0,0,0,0.0012915
disable_8_67108864_524288,0.00393175,2.5825545,0.00024775,0.15453325,1.31299575,4.053863,16.33277275,0.9957405,21.41168,0.521579865,0,0,0,0.00014725
disable_16_4194304_524288,0.00396875,11.53031225,0.00012575,0.0013725,0.7021185,12.2387925,8.57026775,0.4281065,21.2567115,0.846700167,0,0,0,0.001905
disable_16_8388608_524288,0.0039775,7.6269525,0.0002095,0.0016395,0.6875295,8.32000675,10.95828125,0.38108325,19.6785575,0.500624104,0,0,0,0.000485
disable_16_16777216_524288,0.00402375,4.01921825,0.00040875,0.00218575,0.66945175,4.69509725,13.28898,0.470938,18.47443825,0.447306666,0,0,0,0.00044775
disable_16_33554432_524288,0.0039795,2.64673875,0.00686525,0.06725975,0.7093295,3.432382,12.65453125,1.0991835,17.20992675,0.450183022,0,0,0,0.0001335
disable_16_67108864_524288,0.00400675,2.46832225,0.0052525,0.16416725,0.70993175,3.34980775,12.040914,0.81971,16.235808,0.391654636,0,0,0,0.00085425
disable_32_4194304_524288,0.00388175,8.06621775,0.0039735,0.0010845,0.355803,8.43023275,7.032473,0.353606,15.834466,0.470502046,0,0,0,0.00106125
disable_32_8388608_524288,0.0037795,6.4607955,0.00755825,0.00104325,0.286753,6.75828075,9.1797915,0.41743,16.37335675,0.484673325,0,0,0,0.00081425
disable_32_16777216_524288,0.0039755,4.2560045,0.00396625,0.00128525,0.3178765,4.580735,9.92653825,1.28479025,15.810022,1.21647568,0,0,0,9.90E-05
disable_32_33554432_524288,0.00384775,3.21598225,0.000216,0.054725,0.385819,3.65787025,10.7791925,1.291778,15.75120225,0.695999896,0,0,0,0.00102175
disable_32_67108864_524288,0.00400925,0.0047695,0.01104575,0.1132115,0.32732325,0.4574025,11.0577805,3.708197,15.244576,1.072591304,0,0,0,0.00012825
disable_64_4194304_524288,0.00352275,9.34655,0.009782,0.0005605,0.0736965,9.4320965,6.751724,0.49793675,16.6979735,0.529256217,0,0,0,0.0012365
disable_64_8388608_524288,0.00380925,6.56017075,0.01081175,0.00079625,0.082577,6.65559075,7.44101275,1.5591895,15.6745305,0.920266682,0,0,0,0.00041675
disable_64_16777216_524288,0.00354425,7.956723,0.01221025,0.00115375,0.09497325,8.06593175,5.64114075,1.58556675,15.30896275,2.400331771,0,0,0,0.0001525
disable_64_33554432_524288,0.0037665,0.00447375,0.0208715,0.0624345,0.11361275,0.20222775,12.5797475,2.98844725,15.79047725,2.131635894,0,0,0,0.0006065
disable_64_67108864_524288,0.0035895,0.00449275,0.01761675,0.06152025,0.114281,0.1993475,13.073706,4.41746875,17.71012575,2.550192595,0,0,0,0.000884
enable_4_4194304_524288,0.005013,31.2249405,0.0001525,0.00965775,3.0719845,34.3328345,5.347916,0.109074,46.57447275,10.2263169,1.27023775,91.9396385,93.22222125,22.6419485
enable_4_8388608_524288,0.005884,24.1486795,0.00019675,0.01069575,2.95046375,27.12918725,5.8648035,0.50291425,40.8088595,9.432857201,1.339839,93.96035625,95.312607,1.63371975
enable_4_16777216_524288,0.00497975,40.00142725,0.00015925,0.37542325,3.07915325,43.469584,5.79844575,0.545959,64.19325425,12.87940527,1.2152245,50.6187475,51.84518025,5.90862425
enable_4_33554432_524288,0.005244,29.18722025,0.00014975,0.0589125,2.64542,31.90140925,5.9205045,0.50790725,53.73058075,11.27076609,1.236797,69.491598,70.740229,4.02680625
enable_4_67108864_524288,0.00538675,43.43564175,0.00027525,0.76052525,3.09079,47.2952555,10.6243015,0.912781,66.8247995,12.31261657,1.24430625,74.74463575,76.0005475,1.094708
enable_8_4194304_524288,0.00715325,1.59676,0.000147,0.0050885,1.4361935,3.050522,2.568477,0.0793915,6.09183625,0.160073961,0.63123375,220.7082813,221.3466758,20.9625895
enable_8_8388608_524288,0.0069905,1.300659,0.00015625,0.0054575,1.3838135,2.700012,2.6065065,0.03498075,5.71414775,0.143371788,0.63639525,228.201381,228.8449478,21.911808
enable_8_16777216_524288,0.010195,1.21796125,0.000208,0.00445725,1.33792025,2.56689,2.8087595,0.0544355,5.42965125,0.117280392,0.6571845,214.185923,214.8504943,21.97976675
enable_8_33554432_524288,0.0073335,0.99249175,0.000245,0.1012,1.32276775,2.4211315,2.79001875,0.03614875,5.2887135,0.101299888,0.726346,231.661819,232.3956738,23.120342
enable_8_67108864_524288,0.0075965,1.258953,0.000217,0.18687275,1.31191175,2.7611585,2.746982,0.29072975,5.81322975,0.164851147,0.66221575,232.6375145,233.3072443,20.65640325
enable_16_4194304_524288,0.00937475,0.85565475,0.004315,0.0032875,0.698371,1.5678625,1.181069,0.1078125,2.8788595,0.067036256,0.32198375,283.462264,283.7879123,0.002319
enable_16_8388608_524288,0.00885875,0.75933375,0.000188,0.00276225,0.69500075,1.46215525,1.30299675,0.09503525,2.89715125,0.060503907,0.32866725,285.872299,286.2047618,0.09070725
enable_16_16777216_524288,0.00968075,0.83531975,0.004502,0.00298175,0.67159625,1.51779375,1.32307175,0.0662615,2.93919575,0.093338445,0.336901,289.576069,289.916861,0.20124
enable_16_33554432_524288,0.01005925,0.39972675,0.000177,0.06724375,0.72399075,1.1935245,1.30682175,0.40356775,2.934768,0.092183037,0.33079775,297.4444598,297.7791798,0.002265
enable_16_67108864_524288,0.009843,0.407722,0.00020425,0.14688775,0.7051965,1.2618795,1.30925875,0.24217175,2.936579,0.074635991,0.31997325,300.4739868,300.7977995,0.08452875
enable_32_4194304_524288,0.014877,0.40173575,0.01293225,0.00162725,0.27679725,0.69660225,0.66865575,0.09293675,1.64635025,0.055699859,0.16634475,288.9783708,289.1464848,0.04239925
enable_32_8388608_524288,0.01289425,0.3935535,0.01741675,0.001584,0.2666115,0.68193225,0.8263345,0.0861725,2.1093125,0.076862697,0.16994525,337.555605,337.7273898,0.04381975
enable_32_16777216_524288,0.01336575,0.2725955,0.00888075,0.00146225,0.3163385,0.600997,0.79709525,0.1363805,1.58314925,0.073764169,0.16908975,300.862185,301.03315,0.041757
enable_32_33554432_524288,0.01412475,0.21454575,0.00542675,0.06764325,0.37179525,0.660826,0.67430525,0.13894975,1.57657775,0.062555697,0.16810225,298.4336948,298.6037075,0.0020895
enable_32_67108864_524288,0.0146855,0.02534575,0.00024475,0.11348225,0.37950275,0.519457,0.67741175,0.2349125,1.54261575,0.084085938,0.17311125,299.4067383,299.5818125,0.002578
enable_64_4194304_524288,0.02062425,0.153816,0.01038325,0.00123475,0.07014225,0.237827,0.357545,0.095763,0.6661535,0.097334265,0.08060275,304.6157038,304.6971223,0.03439875
enable_64_8388608_524288,0.01916175,0.114256,0.01015675,0.001357,0.08220225,0.209579,0.2667835,0.104605,0.6793935,0.10498535,0.08153625,300.1920313,300.2743248,0.0202465
enable_64_16777216_524288,0.0173065,0.18148425,0.012671,0.00146175,0.09281125,0.28958025,0.29166975,1.1279525,2.35845,0.208557184,0.079678,260.922703,261.0031613,0.0578255
enable_64_33554432_524288,0.01862475,0.018185,0.027794,0.06175,0.11147375,0.219877,0.4744715,0.14548225,0.94865175,0.101992433,0.0837915,290.5105863,290.595202,0.02319925
enable_64_67108864_524288,0.02117,0.016051,0.0267655,0.0666835,0.115444,0.22559975,0.39708375,0.11389925,0.73979275,0.122263779,0.090255,370.7961518,370.8872845,0.088035
